Start Date;End Date;Duration (in seconds);In the previous screen, there was a word that did not make any sense in the text. What was it?;How many ounces of these nuts would you likely buy at the store?;"Please recall your decision process on the previous page. 
To what extent do you agree/disagree with the following statements about you? - I first estimated my consumption quantity of the advertised product in a day, and then adjusted it upward to get my purchase quantity for a month.";Did you make any kind of upward adjustment (e.g., you first came up with 2 and then used 5 as your purchase quantity) in your estimation process? - Amount of upward adjustment (oz.);whether DV>= upward adjustment;Was it easy/difficult for you to estimate how many ounces to buy in the above situation?;How many ounces of these nuts would you likely buy at the store?;"Please recall your decision process on the previous page. 
To what extent do you agree/disagree with the following statements about you? - I first estimated my consumption quantity of the advertised product in a day, and then adjusted it upward to get my purchase quantity for a month.";Did you make any kind of upward adjustment (e.g., you first came up with 2 and then used 5 as your purchase quantity) in your estimation process? - Amount of upward adjustment (oz.);whether DV>= upward adjustment;Was it easy/difficult for you to estimate how many ounces to buy in the above situation?;Are you the primary grocery shopper in your family?;Did you find the above situation difficult to imagine?;How often do you eat walnuts, pecans or almonds in real life?;How many people are there in your household?;How many people did you consider when you were deciding your purchase quantity in the above situation?;Could you tell us your household annual income (in US $)?;Have you participated in a very similar study before?;Your gender:;Your age:
05.06.2023 11:18;05.06.2023 11:21;205;5;;;;;;12;1;0;1;-2;1;0;4;2;2;11;99;1;42
05.06.2023 11:18;05.06.2023 11:23;296;5;;;;;;100;4;100;1;-1;1;1;3;2;3;7;99;1;25
05.06.2023 11:18;05.06.2023 11:22;247;5;;;;;;84;2;0;1;-1;1;0;4;3;3;1;99;1;52
05.06.2023 11:18;05.06.2023 11:20;103;5;;;;;;5;4;2;1;-1;1;1;2;4;4;10;99;0;24
05.06.2023 11:18;05.06.2023 11:22;221;5;;;;;;1;2;1;1;-2;1;0;2;1;1;3;99;1;29
05.06.2023 11:18;05.06.2023 11:20;117;5;10;4;0;1;-2;;;;;;0;0;3;3;1;12;99;1;19
05.06.2023 11:18;05.06.2023 11:20;116;5;;;;;;10;5;0;1;-1;1;1;3;4;1;12;99;1;37
05.06.2023 11:18;05.06.2023 11:21;204;5;48;1;16;1;1;;;;;;1;2;1;2;1;12;99;0;44
05.06.2023 11:18;05.06.2023 11:22;239;5;0;1;0;1;0;;;;;;1;0;3;1;1;7;99;1;49
05.06.2023 11:18;05.06.2023 11:20;126;5;16;2;0;1;0;;;;;;1;1;2;8;8;12;99;0;43
05.06.2023 11:18;05.06.2023 11:24;370;5;;;;;;10;5;9;1;-2;1;0;4;5;5;10;99;1;43
05.06.2023 11:18;05.06.2023 11:21;154;5;;;;;;8;5;2;1;-1;1;0;3;1;1;8;99;0;55
05.06.2023 11:18;05.06.2023 11:22;252;5;;;;;;32;5;2;1;-1;1;0;4;3;2;11;99;0;57
05.06.2023 11:18;05.06.2023 11:22;262;5;;;;;;15;2;1;1;-1;1;3;3;2;2;7;99;0;58
